chapter,verse,en,ar
1,12,"Then king Nabuchodonosor being angry against all that land, swore by his throne and kingdom that he would revenge himself of all those countries.",فَاسْتَشَاطَ حِينَئِذٍ نَبُوخَذْنَصَّرُ الْمَلِكُ غَضَباً عَلَى تِلْكَ الأَرْضِ بِأَسْرِهَا، وَحَلَفَ بِعَرْشِهِ وَمُلْكِهِ لِيَنْتَقِمَنَّ مِنْ جَمِيعِ تِلْكَ الْبِلاَدِ.
2,1,"In the thirteenth year of the reign of Nabuchodonosor, the two and twentieth day of the first month, the word was given out in the house of Nabuchodonosor king of the Assyrians, that he would revenge himself.",وَفِي السَّنَةِ الثَّالِثَةَ عَشْرَةَ لِنَبُوخَذْنَصَّرَ فِي الْيَوْمِ الثَّانِي وَالْعِشْرِينَ مِنَ الشَّهْرِ الأَوَّلِ تَمَّتِ الْكَلِمَةُ فِي بَيْتِ نَبُوخَذْنَصَّرَ مَلِكِ أَشُّورَ بِالاِنْتِقَامِ.
2,2,"And he called all the ancients, and all the governors, and his officers of war, and communicated to them the secret of his counsel:",فَدَعَا جَمِيعَ الشُّيُوخِ وَكُلَّ قُوَّادِهِ وَرِجَالَ حَرْبِهِ وَوَاضَعَهُمْ مَشُورَةً سِرِّيَّةً،
2,3,And he said that his thoughts were to bring all the earth under his empire.,وَقَالَ لَهُمْ إِنَّ فِي نَفْسِهِ أَنْ يُخْضِعَ كُلَّ الأَرْضِ لِمُلْكِهِ؛
2,4,"And when this saying pleased them all, Nabuchodonosor, the king, called Holofernes the general of his armies,",وَإِذْ حَسُنَ ذلِكَ لَدَى الْجَمِيعِ، اسْتَدْعَى نَبُوخَذْنَصَّرُ الْمَلِكُ أَلِيفَانَا قَائِدَ جَيْشِهِ
2,5,"And said to him: Go out against all the kingdoms of the west, and against them especially that despised my commandment.",وَقَالَ لَهُ: «اخْرُجْ عَلَى جَمِيعِ مَمَالِكِ الْغَرْبِ وَخُصُوصاً الَّذِينَ اسْتَهَانُوا بِأَوَامِرِي،
2,6,"Thy eye shall not spare any kingdom, and all the strong cities thou shalt bring under my yoke.",وَلاَ تُشْفِقْ عَيْنُكَ عَلَى مَمْلَكَةٍ مَا، وَأَخْضِعْ لِي جَمِيعَ الْمُدُنِ الْمُحَصَّنَةِ».
2,7,"Then Holofernes called the captains and officers of the power of the Assyrians: and he mustered men for the expedition, as the king commanded him, a hundred and twenty thousand fighting men on foot, and twelve thousand archers, horsemen.",فَدَعَا أَلِيفَانَا الْقُوَّادَ وَعُظَمَاءَ جَيْشِ أَشُّورَ، وَأَحْصَى عَدَدَ رِجَالِ الْحَرْبِ كَمَا أَمَرَهُ الْمَلِكُ مِئَةً وَعِشْرِينَ أَلْفَ رَاجِلٍ مُقَاتِلِينَ وَاثْنَيْ عَشَرَ أَلْفَ فَارِسٍ أَرْبَابِ قِسِيٍّ.
2,8,"And he made all his warlike preparations to go before with a multitude of innumerable camels, with all provisions sufficient for the armies in abundance, and herds of oxen, and flocks of sheep, without number.",وَسَيَّرَ أَمَامَ جُيُوشِهِ عَدَداً لاَ يُحْصَى مِنَ الْجِمَالِ بِمَا يَكْفِي الْجَيْشَ بِكَثْرَةٍ، وَمِنْ أَصْوِرَةِ الْبَقَرِ وَقُطْعَانِ الْغَنَمِ مَا لاَ يُحْصَى.
2,9,He appointed corn to be prepared out of all Syria in his passage.,وَأَمَرَ أَنْ تُجْمَعَ الْحِنْطَةُ مِنْ كُلِّ سُورِيَّةَ عِنْدَ عُبُورِهِ.
2,10,But gold and silver he took out of the king's house in great abundance.,وَأَخَذَ مِنْ بَيْتِ الْمَلِكِ مِنَ الذَّهَبِ وَالْفِضَّةِ شَيْئاً كَثِيراً جِدًّا،
2,11,"And he went forth he and all the army, with the chariots, and horsemen, and archers, who covered the face of the earth, like locusts.",ثُمَّ ارْتَحَلَ بِجَمِيعِ جَيْشِهِ وَمَرَاكِبِهِ وَفُرْسَانِهِ وَأَرْبَابِ الْقِسِيِّ، وَكَانُوا يُغَطُّونَ وَجْهَ الأَرْضِ كَالْجَرَادِ.
2,12,"And when he had passed through the borders of the Assyrians, he came to the great mountains of Ange, which are on the left of Cilicia: and he went up to all their castles, and took all the strong places.",فَلَمَّا جَاوَزَ تُخُومَ أَشُّورَ، انْتَهَى إِلَى جِبَالِ أَنْجَةَ الْعَظِيمَةِ الَّتِي إِلَى يَسَارِ قِيلِيقِيَّةَ، وَزَحَفَ عَلَى جَمِيعِ قِلاَعِهِمْ وَتَسَلَّمَ كُلَّ الْحُصُونِ،
2,13,"And he took by assault the renowned city of Melothus, and pillaged all the children of Tharsis, and the children of Ismahel, who were over against the face of the desert, and on the south of the land of Cellon.",وَفَتَحَ مَدِينَةَ مَلُوطَةَ الْمَشْهُورَةَ، وَنَهَبَ جَمِيعَ بَنِي تَرْشِيشَ وَبَنِي إِسْمَاعِيلَ الَّذِينَ حِيَالَ الْبَرِّيَّةِ وَجِهَةَ جَنُوبِ أَرْضِ كِلُّونَ،
2,14,"And he passed over the Euphrates and came into Mesopotamia: and he forced all the stately cities that were there, from the torrent of Mambre, till one comes to the sea:",ثُمَّ عَبَرَ الْفُرَاتَ وَأَتَى إِلَى مَا بَيْنَ النَّهْرَيْنِ وَقَهَرَ جَمِيعَ مَا هُنَاكَ مِنَ الْمُدُنِ الْمُشَيَّدَةِ مِنْ وَادِي مَمْرَا إِلَى حَدِّ الْبَحْرِ،
2,15,"And he took the borders thereof from Cilicia to the coasts of Japheth, which are towards the south.",وَاسْتَوْلَى عَلَى حُدُودِهَا مِنْ قِيلِيقِيَّةَ إِلَى تُخُومِ يَافَثَ الَّتِي إِلَى الْجَنُوبِ،
2,16,"And he carried away all the children of Madian, and stripped them of all their riches, and all that resisted him he slew with the edge of the sword.",وَأَسَرَ جَمِيعَ بَنِي مِدْيَنَ وَغَنِمَ كُلَّ ثَرْوَتِهِمْ وَكُلَّ مَنْ قَاوَمَهُ قَتَلَهُ بِحَدِّ السَّيْفِ.
2,17,"And after these things he went down into the plains of Damascus in the days of the harvest, and he set all the corn on fire, and he caused all the trees and vineyards to be cut down",وَبَعْدَ ذلِكَ انْحَدَرَ إِلَى صَحَارَى دِمَشْقَ فِي أَيَّامِ الْحَصَادِ، وَأَحْرَقَ جَمِيعَ حُقُولِهِمْ وَقَطَّعَ كُلَّ أَشْجَارِهِمْ وَكُرُومِهِمْ،
2,18,And the fear of them fell upon alit the inhabitants of the land.,فَوَقَعَ رُعْبُهُ عَلَى جَمِيعِ سُكَّانِ الأَرْضِ.
3,1,"Then the kings and the princes of all the cities and provinces, of Syria, Mesopotamia, and Syria Sobal, and Libya, and Cilicia sent their ambassadors, who coming to Holofernes, said:",حِينَئِذٍ أَنْفَذَ إِلَيْهِ جَمِيعُ مُلُوكِ وَرُؤَسَاءِ الْمُدُنِ وَالأَقَالِيمِ رُسُلَهُمْ مِنْ سُورِيَّةَ الَّتِي بَيْنَ النَّهْرَيْنِ وَسُورِيَّةَ صُوبَالَ وَلُوبِيَّةَ وَقِيلِيقِيَّةَ، فَأَتَوْا أَلِيفَانَا وَقَالُوا لَهُ:
3,2,"Let thy indignation towards us cease: for it is better for us to live and serve Nabuchodonosor the great king, and be subject to thee, than to die and to perish, or suffer the miseries of slavery.",«لِيَكُفَّ غَضَبُكَ عَنَّا، فَخَيْرٌ أَنْ نَحْيَا عَبِيداً لِنَبُوخَذْنَصَّرَ الْمَلِكِ الْعَظِيمِ وَنَدِينَ لَكَ مِنْ أَنْ نَمُوتَ وَنَخْرَبَ وَنَتَحَمَّلَ خَسْفَ الْعُبُودِيَّةِ
3,3,"All our cities and our possessions, all mountains and hills, and fields, and herds of oxen, and flocks of cheep, and goats, and horses, and camels, and all our goods, and families are in thy sight:",وَهذِهِ مَدَائِنُنَا بِأَسْرِهَا وَجَمِيعُ مَا نَمْلِكُهُ وَجِبَالُنَا وَهِضَابُنَا وَحُقُولُنَا وَمَوَاشِينَا مِنْ أَصْوِرَةِ الْبَقَرِ وَقُطْعَانِ الْغَنَمِ وَالْمَعَزِ وَالْخَيْلِ وَالإِبِلِ وَجَمِيعُ مُقْتَنَانَا وَعِيَالِنَا بَيْنَ يَدَيْكَ،
3,4,Let all we have be subject to thy law.,جَمِيعُ مَا هُوَ لَنَا تَحْتَ أَمْرِكَ،
3,5,Both we and our children are thy servants.,وَنَحْنُ وَبَنُونَا عَبِيدٌ لَكَ،
3,6,"Come to us a peaceable lord, and use our service as it shall please thee.",فَكُنْ فِي قُدُومِكَ عَلَيْنَا مَوْلَى سَلاَمٍ وَاسْتَخْدِمْنَا بِمَا يَحْسُنُ عِنْدَكَ».
3,7,"Then he came down from the mountains with horsemen, in great power, and made himself master of every city, and all the inhabitants of the land.",حِينَئِذٍ انْحَدَرَ مِنَ الْجِبَالِ مَعَ الْفُرْسَانِ بِقُوَّةٍ عَظِيمَةٍ وَاسْتَوْلَى عَلَى جَمِيعِ الْمُدُنِ وَكُلِّ سُكَّانِ الأَرْضِ،
3,8,"And from all the cities he took auxiliaries valiant men, and chosen for war.",وَأَخَذَ مِنْ جَمِيعِ الْمُدُنِ أَنْصَاراً لَهُ مِنْ ذَوِي الْبَأْسِ وَمُخْتَارِينَ لِلْحَرْبِ.
3,9,"And so great a fear lay upon all those provinces, that the inhabitants of all the cities, both princes and nobles, as well as the people, went out to meet him at his coming.",فَحَلَّ عَلَى جَمِيعِ تِلْكَ الْبُلْدَانِ خَوْفٌ عَظِيمٌ حَتَّى خَرَجَ لِلِقَائِهِ سُكَّانُ جَمِيعِ الْمُدُنِ الرُّؤَسَاءُ وَالأَشْرَافُ مَعَ شُعُوبِهِمْ،
3,10,"And received him with garlands, and lights, and dances, and tumbrels, and flutes.",وَاسْتَقْبَلُوهُ بِالأَكَالِيلِ وَالْمَصَابِيحِ رَاقِصِينَ بِالطُّبُولِ وَالنَّايَاتِ.
3,11,"And though they did these things, they could not for all that mitigate the fierceness of his heart:",وَلاَ بِصُنْعِهِمْ هذَا أَمْكَنَهُمْ أَنْ يُلَيِّنُوا قَسَاوَةَ قَلْبِهِ،
3,12,For he both destroyed their cities and cut down their groves.,فَإِنَّهُ دَمَّرَ مُدُنَهُمْ وَقَطَّعَ غَابَاتِهِمْ،
3,13,"For Nabuchodonosor the king had commanded him to destroy all the gods of the earth, that he only might be called God by those nations which could be brought under him by the power of Holofernes.",لأَنَّ نَبُوخَذْنَصَّرَ الْمَلِكَ كَانَ قَدْ أَمَرَهُ أَنْ يُبِيدَ جَمِيعَ آلِهَةِ الأَرْضِ حَتَّى يُدْعَى هُوَ وَحْدَهُ إِلهاً بَيْنَ جَمِيعِ تِلْكَ الأُمَمِ الَّتِي تَدِينُ لَهُ بِسَطْوَةِ أَلِيفَانَا،
3,14,"And when he had passed through all Syria Sobal, and all Apamea, and all Mesopotamia, he came to the Idumeans into the land of Gabaa,",ثُمَّ عَبَرَ سُورِيَّةَ صُوبَالَ وَبَامِيَّةَ كُلَّهَا وَجَمِيعَ مَا بَيْنَ النَّهْرَيْنِ وَأَتَى الأَدُومِيِّينَ فِي أَرْضِ جَبْعَ
3,15,"And he took possession of their cities, and stayed there for thirty days, in which days he commanded all the troops of his army to be united.",وَأَخَذَ مَدَائِنَهُمْ، وَأَقَامَ هُنَاكَ ثَلاَثِينَ يَوْماً أَمَرَ فِيهَا أَنْ تُجْمَعَ كُلُّ قُوَّةِ جَيْشِهِ.
4,1,"Then the children of Israel, who dwelt in the land of Juda, hearing these things, were exceedingly afraid of him.",وَسَمِعَ بَنُو إِسْرَائِيلَ الْمُقِيمُونَ بِأَرْضِ يَهُوذَا، فَخَافُوا جِدًّا مِنْ وَجْهِهِ
4,2,"Dread and horror seized upon their minds, lest he should do the same to Jerusalem and to the temple of the Lord, that he had done to other cities and their temples.",وَأَخَذَ الاِرْتِعَادُ بِفَرَائِصِهِمْ مَخَافَةً أَنْ يَفْعَلَ بِأُورُشَلِيمَ وَبِهَيْكَلِ الرَّبِّ كَمَا فَعَلَ بِسَائِرِ الْمُدُنِ وَهَيَاكِلِهَا،
4,3,"And they sent into all Samaria round about, as far as Jericho, and seized upon all the tops of the mountains:",فَأَرْسَلُوا إِلَى جَمِيعِ السَّامِرَةِ فِي كُلِّ وَجْهٍ إِلَى حَدِّ أَرِيحَا، وَضَبَطُوا رُؤُوسَ الْجِبَالِ كُلَّهَا،
4,4,"And they compassed their towns with walls, and gathered together corn for provision for war.",وَسَوَّرُوا قُرَاهُمْ وَجَمَعُوا الْحِنْطَةَ اسْتِعْدَاداً لِلْقِتَالِ.
4,5,"And Eliachim the priest wrote to all that were over against Esdrelon, which faceth the great plain near Dothain, and to all by whom there might be a passage of way, that they should take possession of the ascents of the mountains, by which there might be any way to Jerusalem, and should keep watch where the way was narrow between the mountains.",وَكَتَبَ أَلِيَاقِيمُ الْكَاهِنُ إِلَى جَمِيعِ السَّاكِنِينَ قُبَالَةَ يَزْرَعِيلَ الَّتِي حِيَالَ الصَّحْرَاءِ الْكَبِيرَةِ إِلَى جَانِبِ دُوتَانَ وَإِلَى جَمِيعِ الَّذِينَ يُمْكِنُ أَنْ يُجَازَ فِي أَرَاضِيهِمْ،
4,6,"And the children of Israel did as the priest of the Lord Eliachim had appointed them,",أَنْ يَضْبِطُوا مَرَاقِيَ الْجِبَالِ الَّتِي يُمْكِنُ أَنْ تُسْلَكَ إِلَى أُورُشَلِيمَ، وَيَحْفَظُوا الْمَضَايِقَ الَّتِي يُمْكِنُ أَنْ يُجَازَ مِنْهَا بَيْنَ الْجِبَالِ.
4,7,"And all the people cried to the Lord with great earnestness, and they",فَفَعَلَ بَنُو إِسْرَائِيلَ كَمَا رَسَمَ كَاهِنُ الرَّبِّ أَلِيَاقِيمُ،
4,8,"humbled their souls in fastings, and prayers, both they and their wives.",وَصَرَخَ كُلُّ الشَّعْبِ إِلَى الرَّبِّ بِابْتِهَالٍ عَظِيمٍ وَذَلَّلُوا نُفُوسَهُمْ بِالصَّوْمِ وَالصَّلاَةِ هُمْ وَنِسَاؤُهُمْ،
4,9,"And the priests put on haircloths, and they caused the little children to lie prostrate before the temple of the Lord, and the altar of the Lord they covered with haircloth.",وَلَبِسَ الْكَهَنَةُ الْمُسُوحَ، وَطَرَحُوا الأَطْفَالَ أَمَامَ هَيْكَلِ الرَّبِّ، وَغَطَّوْا مَذْبَحَ الرَّبِّ بِمِسْحٍ،
4,10,"And they cried to the Lord the God of Israel with one accord, that their children might not be made a prey, and their wives carried off, and their cities destroyed, and their holy things profaned, and that they might not be made a reproach to the Gentiles.",وَصَرَخُوا جُمْلَةً إِلَى الرَّبِّ إِلهِ إِسْرَائِيلَ أَنْ لاَ يَجْعَلَ أَطْفَالَهُمْ غَنِيمَةً وَنِسَاءَهُمْ مُقْتَسَماً لِلأَعْدَاءِ وَمُدُنَهُمْ خَرَاباً وَأَقْدَاسَهُمْ نَجَاسَةً وَإِيَّاهُمْ عَاراً بَيْنَ الأُمَمِ.
4,11,"Then Eliachim the high priest of the Lord went about all Israel and spoke to them,",وَجَالَ أَلِيَاقِيمُ كَاهِنُ الرَّبِّ الْعَظِيمُ فِي جَمِيعِ إِسْرَائِيلَ وَكَلَّمَهُمْ قَائِلاً:
4,12,"Saying: Know ye that the Lord will hear your prayers, if you continue with perseverance in fastings and prayers in the sight of the Lord.",«اعْلَمُوا أَنَّ الرَّبَّ يَسْتَجِيبُ لِصَلَوَاتِكُمْ إِنْ وَاظَبْتُمْ عَلَى الصُّوْمِ وَالصَّلَوَاتِ أَمَامَ الرَّبِّ.
4,13,"Remember Moses the servant of the Lord, who overcame Amalec that trusted in his own strength, and in his power, and in his army, and in his shields, and in his chariots, and in his horsemen, not by fighting with the sword, but by holy prayers:",اُذْكُرُوا مُوسَى عَبْدَ الرَّبِّ كَيْفَ قَهَرَ الْعَمَالِقَةَ الَّذِينَ كَانُوا مُتَّكِلِينَ عَلَى بَأْسِهِمْ وَقُدْرَتِهِمْ وَجَيْشِهِمْ وَتُرُوسِهِمْ وَمَرَاكِبِهِمْ وَفُرْسَانِهِمْ، فَقَهَرَهُمْ مُقَاتِلاً لاَ بِالسَّيْفِ بَلْ بِالصَّلَوَاتِ الطَّاهِرَةِ؛
4,14,"So shall all the enemies of Israel be, if you persevere in this work which you have begun.",هكَذَا يَكُونُ جَمِيعُ أَعْدَاءِ إِسْرَائِيلَ إِذَا وَاظَبْتُمْ عَلَى الْعَمَلِ الَّذِي بَدَأْتُمْ بِهِ»،
4,15,"So they being moved by this exhortation of his, prayed to the Lord, and continued in the sight of the Lord.",وَإِذْ خَاطَبَهُمْ بِهذَا الْكَلاَمِ تَضَرَّعُوا إِلَى الرَّبِّ وَكَانُوا لاَ يَبْرَحُونَ مِنْ أَمَامِ الرَّبِّ
4,16,"So that even they who offered the holocausts to the Lord, offered the sacrifices to the Lord girded with haircloths, and with ashes upon their head.",وَكَانَ الَّذِينَ يُقَدِّمُونَ الْمُحْرَقَاتِ إِلَى الرَّبِّ لاَبِسِينَ الْمُسُوحَ يُقَرِّبُونَ ذَبَائِحَ لِلرَّبِّ وَالرَّمَادُ عَلَى رُؤُوسِهِمْ،
4,17,"And they all begged of God with all their heart, that he would visit his people Israel.",وَكَانُوا بِجُمْلَتِهِمْ يُصَلُّونَ إِلَى اللهِ مِنْ كُلِّ قُلُوبِهِمْ أَنْ يَفْتَقِدَ شَعْبَهُ إِسْرَائِيلَ.
5,1,"And it was told Holofernes the general of the army of the Assyrians, that the children of Israel prepared themselves to resist, and had shut up the ways of the mountains.",وَأُخْبِرَ أَلِيفَانَا رَئِيسُ جَيْشِ الأَشُّورِيِّينَ أَنَّ بَنِي إِسْرَائِيلَ قَدْ تَأَهَّبُوا لِلْمُدَافَعَةِ، وَأَنَّهُمْ قَدْ سَدُّوا طُرُقَ الْجِبَالِ.
5,2,"And he was transported with exceeding great fury and indignation, and he called all the princes of Moab and the leaders of Amman.",فَاسْتَشَاطَ أَلِيفَانَا غَضَباً فِي شِدَّةِ حَنَقِهِ، وَدَعَا جَمِيعَ رُؤَسَاءِ مُوآبَ وَقُوَّادِ عَمُّونَ
5,3,"And he said to them: Tell me what is this people that besetteth the mountains: or what are their cities, and of what sort, and how great: also what is their power, or what is their multitude: or who is the king over their warfare:",وَقَالَ لَهُمْ: «قُولُوا لِي: مَنْ أُولئِكَ الشَّعْبُ الَّذِينَ ضَبَطُوا الْجِبَالَ؟ وَمَا مُدُنُهُمْ؟ وَكَيْفَ هِيَ؟ وَمَا قُوَّتُهَا؟ وَمَا قُدْرَتُهُمْ وَكَثْرَتُهُمْ؟ وَمَنْ قَائِدُ جَيْشِهِمْ؟
5,4,"And why they above all that dwell in the east, have despised us, and have not come out to meet us, that they might receive us with peace?",وَكَيْفَ اسْتَخَفُّوا بِنَا دُونَ جَمِيعِ سُكَّانِ الْمَشْرِقِ وَلَمْ يَخْرُجُوا لاِسْتِقْبَالِنَا لِيَتَلَقُّونَا بِالسِّلْمِ؟»
5,5,"Then Achior captain of all the children of Ammon answering, said: If thou vouch safe, my lord, to hear, I will tell the truth in thy sight concerning this people, that dwelleth in the mountains, and there shall not a false word come out of my mouth.",فَأَجَابَهُ أَحْيُورُ قَائِدُ جَمِيعِ بَنِي عَمُّونَ قَائِلاً: «إِنْ تَنَازَلْتَ فَسَمِعْتَ لِي يَا سَيِّدِي أَقُولُ الْحَقَّ بَيْنَ يَدَيْكَ فِي أَمَرِ أُولئِكَ الشَّعْبِ الْمُقِيمِينَ بِالْجِبَالِ، وَلاَ تَخْرُجُ لَفْظَةٌ كَاذِبَةٌ مِنْ فَمِي.
5,6,This people is of the offspring of the Chaldeans.,إِنَّ أُولئِكَ الشَّعْبَ هُمْ مِنْ نَسْلِ الْكَلْدَانِيِّينَ،
5,7,"They dwelt first in Mesopotamia, because they would not follow the gods of their fathers, who were in the land of the Chaldeans.",وَكَانَ أَوَّلُ مُقَامِهِمْ فِيمَا بَيْنَ النَّهْرَيْنِ، لأَنَّهُمْ أَبَوْا اتِّبَاعِ آلِهَةِ آبَائِهِمْ الْمُقِيمِينَ بِأَرْضِ الْكَلْدَانِيِّينَ،
5,8,"Wherefore forsaking the ceremonies of their fathers, which consisted in the worship of many gods,",فَتَرَكُوا سُنَنَ آبَائِهِمْ الَّتِي كَانَتْ لآلِهَةٍ كَثِيرَةٍ،
5,9,"They worshipped one God of heaven, who also commanded them to depart from thence, and to dwell in Charan. And when there was a famine over all the land, they went down into Egypt, and there for four hundred years were so multiplied, that the army of them could not be numbered.",وَسَجَدُوا لإِلهِ السَّمَاءِ الْوَاحِدِ، وَهُوَ أَمَرَهُمْ أَنْ يَخْرُجُوا مِنْ هُنَاكَ وَيَسْكُنُوا فِي حَارَانَ. فَلَمَّا عَمَّ الْجُوعُ الأَرْضَ كُلَّهَا هَبَطُوا إِلَى مِصْرَ، وَتَكَاثَرُوا هُنَاكَ مُدَّةَ أَرْبَعِ مِئَةِ سَنَةٍ حَتَّى كَانَ جَيْشُهُمْ لاَ يُحْصَى.
5,10,"And when the king of Egypt oppressed them, and made slaves of them to labour in clay and brick, in the building of his cities, they cried to their Lord, and he struck the whole land of Egypt with divers plagues.",وَإِذْ كَانَ مَلِكُ مِصْرَ يُعْنِتُهُمْ بِالأَثْقَالِ، وَيَسْتَعْبِدُهُمْ فِي بِنَاءِ مُدُنِهِ بِالطِّينِ وَاللَّبِنِ، صَرَخُوا إِلَى رَبِّهِمْ؛ فَضَرَبَ جَمِيعَ أَرْضِ مِصْرَ ضَرَبَاتٍ مُخْتَلِفَةٍ.
5,11,"And when the Egyptians had cast them out from them, and the plague had ceased from them, and they had a mind to take them again, and bring them back to their service,",وَبَعْدَ أَنْ طَرَدَهُمُ الْمِصْرِيُّونَ مِنْ أَرْضِهِمْ، وَكَفَّتِ الضَّرْبَةُ عَنْهُمْ، أَرَادُوا إِمْسَاكَهُمْ لِيَرُدُّوهُمْ إِلَى عُبُودِيَّتِهِمْ
5,12,"The God of heaven opened the sea to them in their flight, so that the waters were made to stand firm as a wall on either side, and they walked through the bottom of the sea and passed it dry foot.",وَفِيمَا هُمْ هَارِبُونَ، فَلَقَ لَهُمْ إِلهُ السَّمَاءِ الْبَحْرَ، وَجَمَدَتِ الْمِيَاهُ مِنَ الْجَانِبَيْنِ، فَعَبَرُوا عَلَى حَضِيضِ الْبَحْرِ عَلَى الْيَبَسِ،
5,13,"And when an innumerable army of the Egyptians pursued after them in that place, they were so overwhelmed with the waters, that there was not one left, to tell what had happened to posterity.",وَتَعَقَّبَهُمْ هُنَاكَ جَيْشُ الْمِصْرِيِّينَ بِلاَ عَدَدٍ، فَغَمَرَتْهُمُ الْمِيَاهُ حَتَّى لَمْ يَبْقَ مِنْهُمْ أَحَدٌ يُخْبِرُ أَعْقَابَهُمْ.
5,14,"And after they came out of the Red Sea, they abode in the deserts of mount Sina, in which never man could dwell, or son of man rested.",فَخَرَجُوا مِنَ الْبَحْرِ الأَحْمَرِ، وَنَزَلُوا بَرِّيَّةَ جَبَلِ سِينَاءَ، حَيْثُ لَمْ يَكُنْ يَقْدِرُ أَنْ يَسْكُنَ إِنْسَانٌ، وَلاَ يَسْتَرِيحَ ابْنُ بَشَرٍ.
5,15,"There bitter fountains were made sweet for them to drink, and for forty years they received food from heaven.",وَهُنَاكَ حُوِّلَتْ لَهُمْ يَنَابِيعُ الْمِيَاهِ الْمُرَّةِ عَذْبَةً لِيَشْرَبُوا، وَرُزِقُوا طَعَاماً مِنَ السَّمَاءِ مُدَّةَ أَرْبَعِينَ سَنَةً.
5,16,"Wheresoever they went in without bow and arrow, and without shield and sword, their God fought for them and overcame.",وَحَيْثُمَا دَخَلُوا بِلاَ قَوْسٍ وَلاَ سَهْمٍ وَلاَ تُرْسٍ وَلاَ سَيْفٍ، قَاتَلَ إِلهُهُمْ عَنْهُمْ وَظَفِرَ.
